case_id,product_component,original_cve_id,incomplete_fix_cve_id,subtype,parent_group,subtype_definition
CASE-10,FreeRDP — free/open-source RDP client library and clients; SDL2 and SDL3 GUI client trees,CVE-2026-24680,CVE-2026-27950,Parallel implementation miss,Structural Duplication,"The same logic is duplicated across multiple files, code trees, binaries, or lookup-path implementations (e.g. SDL2 vs SDL3, generic vs SIMD, Web vs Component server); the fix is applied to only a subset of the duplicates."
CASE-11,"Linux kernel — IPVS (IP Virtual Server) in-kernel load balancer / net/ipv4 route code; used by keepalived, LVS clusters, Kubernetes kube-proxy IPVS-mode",CVE-2023-42754 / CVE-2023-52579 (historical tracking of mainline commit 0113d9c9d1cc; see misc_notes),CVE-2025-68813,Upstream/downstream caller miss,Call-Chain / Scope,"The exploitable defect actually lives in a different function of the call chain (an upstream validator/caller, a downstream consumer, or the producer/reader counterpart of a build/read pair) than the function that was patched."
CASE-12,"Linux kernel — SMB2/3 client (cifs.ko / fs/smb/client), directory-lease ('cached directory handle') cache",CVE-2025-40328,CVE-2025-68226,Security logic implemented but not applied,Structural Duplication,"A reusable protective primitive (helper function, macro, wrapper) was correctly written and correctly used at most call sites, but was never wired into one additional site that needed it."
CASE-13,"iputils — ping utility, ping/ping_common.c (RTT/statistics engine)",CVE-2025-47268,CVE-2025-48964,Wrong invariant / off-by-construction,Logic / Invariant Error,"A guard/bound/algorithm was added and IS reached, but its condition, threshold, sentinel value, or design does not actually match the real overflow/bypass condition (miscalibration or algorithmic edge case, not a coverage gap)."
CASE-14,"Artifex Ghostscript / GhostPDL (base/gp_utf8.c) -- PostScript/PDF interpreter, widely embedded in print pipelines and PDF-to-image converters",CVE-2024-46954,CVE-2025-46646,Wrong invariant / off-by-construction,Logic / Invariant Error,"A guard/bound/algorithm was added and IS reached, but its condition, threshold, sentinel value, or design does not actually match the real overflow/bypass condition (miscalibration or algorithmic edge case, not a coverage gap)."
CASE-15,"Linux kernel — traffic-control subsystem (net/sched), classful queueing disciplines (HFSC, HTB, DRR, QFQ, ETS)",CVE-2025-38000,CVE-2025-38350,Upstream/downstream caller miss,Call-Chain / Scope,"The exploitable defect actually lives in a different function of the call chain (an upstream validator/caller, a downstream consumer, or the producer/reader counterpart of a build/read pair) than the function that was patched."
CASE-16,"Linux kernel — netfilter/nftables, PIPAPO (""Pile Packet Policies"") multi-field set-matching backend",CVE-2024-57947,CVE-2025-38120,Security logic implemented but not applied,Structural Duplication,"A reusable protective primitive (helper function, macro, wrapper) was correctly written and correctly used at most call sites, but was never wired into one additional site that needed it."
CASE-17,"Eclipse ThreadX NetX Duo — ""Component"" (non-Web) HTTP server addon; embedded/IoT dual-stack TCP/IP library (former Azure RTOS)",CVE-2025-0726,CVE-2025-2260,Parallel implementation miss,Structural Duplication,"The same logic is duplicated across multiple files, code trees, binaries, or lookup-path implementations (e.g. SDL2 vs SDL3, generic vs SIMD, Web vs Component server); the fix is applied to only a subset of the duplicates."
CASE-18,"Eclipse ThreadX NetX Duo — ""Component"" (non-Web) HTTP server addon; embedded/IoT dual-stack TCP/IP library (former Azure RTOS)",CVE-2025-0727 (closely related sibling CVE-2025-0728 fixed by the same original commit),CVE-2025-2259,Parallel implementation miss,Structural Duplication,"The same logic is duplicated across multiple files, code trees, binaries, or lookup-path implementations (e.g. SDL2 vs SDL3, generic vs SIMD, Web vs Component server); the fix is applied to only a subset of the duplicates."
CASE-19,OpenSSH — ssh-agent(1) / ssh-pkcs11-helper PKCS#11 provider loading,CVE-2016-10009,CVE-2023-38408,Threat-model too narrow (who/what unconsidered),Trust-Boundary / Delegation Gap,"The fix correctly restricts WHICH resource/path may be used, but never asks WHO may trigger the operation or WHAT the operation itself can do as a side effect -- the exploited primitive sat entirely outside the original threat model."
CASE-20,OpenSSH scp client (Amazon Linux packaging of OpenSSH 7.4) -- scp.c sink(),CVE-2019-6111,CVE-2023-35812,Backport/distro re-derivation miss,Structural Duplication,"A downstream distro, LTS branch, or older codebase's fix had to be manually re-implemented (not cherry-picked verbatim) against differently-structured code, and the re-derivation introduced a gap the upstream, verbatim version does not have."
CASE-21,sysstat performance-monitoring suite (sar/sadc/sadf/mpstat/pidstat/iostat) -- common.c / sa_common.c,CVE-2022-39377,CVE-2023-33204,Wrong invariant / off-by-construction,Logic / Invariant Error,"A guard/bound/algorithm was added and IS reached, but its condition, threshold, sentinel value, or design does not actually match the real overflow/bypass condition (miscalibration or algorithmic edge case, not a coverage gap)."
CASE-22,"Linux kernel -- Xen PV network backend (xen-netback), plus arch p2m layer",CVE-2021-26931 (XSA-362),CVE-2021-28038 (XSA-367),Upstream/downstream caller miss,Call-Chain / Scope,"The exploitable defect actually lives in a different function of the call chain (an upstream validator/caller, a downstream consumer, or the producer/reader counterpart of a build/read pair) than the function that was patched."
CASE-23,Xen hypervisor -- VT-d IOMMU cache-sync core and EPT/HAP shared-page-table code (x86 Intel systems only),CVE-2020-15565 (XSA-321),CVE-2021-27379 (XSA-366),Backport/distro re-derivation miss,Structural Duplication,"A downstream distro, LTS branch, or older codebase's fix had to be manually re-implemented (not cherry-picked verbatim) against differently-structured code, and the re-derivation introduced a gap the upstream, verbatim version does not have."
CASE-24,"gnome-autoar (GLib/GIO + libarchive helper library) -- used by Nautilus, GNOME Shell, file-roller for archive extraction",CVE-2020-36241,CVE-2021-28650,Wrong invariant / off-by-construction,Logic / Invariant Error,"A guard/bound/algorithm was added and IS reached, but its condition, threshold, sentinel value, or design does not actually match the real overflow/bypass condition (miscalibration or algorithmic edge case, not a coverage gap)."
CASE-25,Pillow (Python Imaging Library fork) -- src/libImaging/TiffDecode.c,CVE-2020-35654,CVE-2021-25289,Wrong invariant / off-by-construction,Logic / Invariant Error,"A guard/bound/algorithm was added and IS reached, but its condition, threshold, sentinel value, or design does not actually match the real overflow/bypass condition (miscalibration or algorithmic edge case, not a coverage gap)."
CASE-26,"Zstandard (zstd) command-line utility -- programs/fileio.c, programs/util.c",CVE-2021-24031,CVE-2021-24032,Symmetric/dual-operation miss,Dual-Operation Symmetry,"Two mirror-image operations exist (open/close, alloc/fill, read/write, create/finalize, '('/')'); the fix hardens one side and leaves its structural mirror untouched."
CASE-27,"Linux kernel -- Intel i915 GPU driver, drivers/gpu/drm/i915/ (Gen8/Gen9 integrated graphics)",CVE-2019-14615,CVE-2020-8832,Backport/distro re-derivation miss,Structural Duplication,"A downstream distro, LTS branch, or older codebase's fix had to be manually re-implemented (not cherry-picked verbatim) against differently-structured code, and the re-derivation introduced a gap the upstream, verbatim version does not have."
CASE-28,"TensorFlow -- tensorflow/core/kernels/maxpooling_op.cc, pooling_ops_common.cc",CVE-2021-29579,CVE-2021-37674,Scope-of-audit miss,Structural Duplication,"The original fix was produced by an audit (manual, grep-based, or reproducer-driven) that covered the exact reported call site / branch / function but never widened to structurally similar sibling call sites, branches, or functions."
CASE-29,RPM Package Manager -- lib/fsm.c (file-system state-machine / package installer),CVE-2017-7500 (directory-symlink following); companion CVE-2017-7501 (file-creation symlink following),CVE-2021-35939,Scope-of-audit miss,Structural Duplication,"The original fix was produced by an audit (manual, grep-based, or reproducer-driven) that covered the exact reported call site / branch / function but never widened to structurally similar sibling call sites, branches, or functions."
CASE-30,"Redis -- src/t_string.c, stralgoLCS() (STRALGO LCS command, renamed LCS in Redis 7)",CVE-2021-29477,CVE-2021-32625,Platform/environment-dependent assumption,Logic / Invariant Error,"The fix's correctness silently depends on a platform-specific property (integer width, architecture, build configuration) that does not hold on every supported platform."
CASE-31,"dnf5daemon-server -- D-Bus daemon of DNF5, Fedora/RHEL's next-gen RPM package manager",CVE-2024-1929 (sibling CVE-2024-1930 reported same disclosure),CVE-2024-2746,Field/parameter-family miss,Structural Duplication,The fix enumerates a family of fields/parameters/members/option-spellings/reference-holder-classes to protect but omits one member of that family.
CASE-32,"ConEmu-Maximus5 (""ConEmu"") -- Windows console emulator/terminal front-end",CVE-2022-46387,CVE-2023-39150,Field/parameter-family miss,Structural Duplication,The fix enumerates a family of fields/parameters/members/option-spellings/reference-holder-classes to protect but omits one member of that family.
CASE-33,tinyfiledialogs -- single-file C/C++ cross-platform native-dialog library (Guillaume Vareille),CVE-2020-36767,CVE-2023-47104,Field/parameter-family miss,Structural Duplication,The fix enumerates a family of fields/parameters/members/option-spellings/reference-holder-classes to protect but omits one member of that family.
CASE-34,"Xen Hypervisor -- x86 HVM standard-VGA MMIO acceleration, xen/arch/x86/hvm/stdvga.c","None assigned (2015 deadlock found/fixed within days of introduction, pre-dates formal CVE tracking for this specific defect)",CVE-2024-45818 (XSA-463),Wrong invariant / off-by-construction,Logic / Invariant Error,"A guard/bound/algorithm was added and IS reached, but its condition, threshold, sentinel value, or design does not actually match the real overflow/bypass condition (miscalibration or algorithmic edge case, not a coverage gap)."
CASE-35,"PHP interpreter -- main/php_variables.c, php_register_variable_ex()",CVE-2022-31629 (PHP Sec Bug #81727),CVE-2024-2756,Scope-of-audit miss,Structural Duplication,"The original fix was produced by an audit (manual, grep-based, or reproducer-driven) that covered the exact reported call site / branch / function but never widened to structurally similar sibling call sites, branches, or functions."
CASE-36,"GNOME file-roller -- src/fr-archive-libarchive.c, extract_archive_thread()",CVE-2020-11736,CVE-2020-36314,Wrong invariant / off-by-construction,Logic / Invariant Error,"A guard/bound/algorithm was added and IS reached, but its condition, threshold, sentinel value, or design does not actually match the real overflow/bypass condition (miscalibration or algorithmic edge case, not a coverage gap)."
CASE-37,"systemd -- src/basic/user-util.c (parse_uid()), src/core/load-fragment.c (config_parse_user_group())",CVE-2017-1000082,CVE-2020-13776,Upstream/downstream caller miss,Call-Chain / Scope,"The exploitable defect actually lives in a different function of the call chain (an upstream validator/caller, a downstream consumer, or the producer/reader counterpart of a build/read pair) than the function that was patched."
CASE-38,"Unbound DNS resolver (RHEL7 backport) -- iterator/iterator.c, processQueryTargets()","CVE-2020-12662 (""NXNSAttack"")",CVE-2020-10772,Backport/distro re-derivation miss,Structural Duplication,"A downstream distro, LTS branch, or older codebase's fix had to be manually re-implemented (not cherry-picked verbatim) against differently-structured code, and the re-derivation introduced a gap the upstream, verbatim version does not have."
CASE-39,Brave Browser (brave-core) -- browser/net/brave_ad_block_tp_network_delegate_helper.cc,CVE-2021-21323 (Tor-specific),CVE-2021-22916,Field/parameter-family miss,Structural Duplication,The fix enumerates a family of fields/parameters/members/option-spellings/reference-holder-classes to protect but omits one member of that family.
CASE-40,"Apache HTTP Server -- server/util.c, ap_normalize_path() / unescape_url()",CVE-2021-41773,CVE-2021-42013,Scope-of-audit miss,Structural Duplication,"The original fix was produced by an audit (manual, grep-based, or reproducer-driven) that covered the exact reported call site / branch / function but never widened to structurally similar sibling call sites, branches, or functions."
CASE-41,"Furnace (tildearrow) -- open-source chiptune tracker; src/engine/fileOps.cpp (parser), src/gui/pattern.cpp (GUI renderer)",CVE-2022-1211,CVE-2022-1289,Upstream/downstream caller miss,Call-Chain / Scope,"The exploitable defect actually lives in a different function of the call chain (an upstream validator/caller, a downstream consumer, or the producer/reader counterpart of a build/read pair) than the function that was patched."
CASE-42,"GNU Binutils -- libbfd, bfd/elf.c (ELF symbol-versioning table build/read code, underlies nm/objdump/readelf/ld)",CVE-2020-16599 (Sourceware PR 25842),CVE-2022-4285 (Sourceware PR 29699),Upstream/downstream caller miss,Call-Chain / Scope,"The exploitable defect actually lives in a different function of the call chain (an upstream validator/caller, a downstream consumer, or the producer/reader counterpart of a build/read pair) than the function that was patched."
CASE-43,Axiomatic Bento4 (libap4) -- MP4/ISOBMFF parsing/muxing toolkit; Source/C++/Core/Ap4RtpAtom.cpp (formerly Ap4SdpAtom.cpp),CVE-2019-13238 (GitHub issue #396),"CVE-2022-3807 (GitHub issue #803, ""Incomplete fix of CVE-2019-13238"")",Wrong invariant / off-by-construction,Logic / Invariant Error,"A guard/bound/algorithm was added and IS reached, but its condition, threshold, sentinel value, or design does not actually match the real overflow/bypass condition (miscalibration or algorithmic edge case, not a coverage gap)."
CASE-44,"389 Directory Server (389-ds-base) -- LDAP Content Synchronization (sync_repl) plugin, ldap/servers/plugins/sync/sync_util.c",CVE-2021-3514,CVE-2022-2850,Scope-of-audit miss,Structural Duplication,"The original fix was produced by an audit (manual, grep-based, or reproducer-driven) that covered the exact reported call site / branch / function but never widened to structurally similar sibling call sites, branches, or functions."
CASE-45,"Percona XtraBackup (PXB) -- storage/innobase/xtrabackup/src/xtrabackup.cc, backup_mysql.cc",CVE-2020-10997,CVE-2022-26944,Field/parameter-family miss,Structural Duplication,The fix enumerates a family of fields/parameters/members/option-spellings/reference-holder-classes to protect but omits one member of that family.
CASE-46,"hostapd/wpa_supplicant (w1.fi) -- src/eap_common/eap_pwd_common.c, src/common/dragonfly.c (shared Dragonfly PAKE helper)","CVE-2019-9495 (w1.fi Security Advisory 2019-2, ""Dragonblood"")",CVE-2022-23304 (w1.fi Security Advisory 2022-1),Delegated/unaudited external-dependency miss,Trust-Boundary / Delegation Gap,A security invariant (e.g. constant-time behaviour) is silently delegated to a third-party library or component whose internals were never audited and are outside the fixer's control.
CASE-47,"hostapd/wpa_supplicant (w1.fi) -- src/common/sae.c (SAE/WPA3-Personal), src/common/dragonfly.c (shared Dragonfly PAKE helper)","CVE-2019-9494 (w1.fi Security Advisory 2019-1, ""Dragonblood""; VU#871675)",CVE-2022-23303 (w1.fi Security Advisory 2022-1),Delegated/unaudited external-dependency miss,Trust-Boundary / Delegation Gap,A security invariant (e.g. constant-time behaviour) is silently delegated to a third-party library or component whose internals were never audited and are outside the fixer's control.
CASE-48,QEMU -- hw/usb/hcd-ehci.c (EHCI USB host-controller emulation); RHEL 9.1 qemu-kvm package specifically,CVE-2021-3750,CVE-2023-2680,Packaging/backport assertion failure,Process / Supply-Chain Failure,"There is no source-code defect distinct from the original vulnerability; an advisory/package asserted a fix was shipped when the shipped binary still contained the original, unpatched code."
CASE-49,"cpp-httplib (yhirose/cpp-httplib) -- single-header C++11 HTTP/HTTPS client-and-server library, httplib.h",CVE-2020-11709,CVE-2023-26130,Security logic implemented but not applied,Structural Duplication,"A reusable protective primitive (helper function, macro, wrapper) was correctly written and correctly used at most call sites, but was never wired into one additional site that needed it."
CASE-50,"Linux kernel -- netfilter/ebtables (Ethernet-frame bridge packet filtering), net/bridge/netfilter/ebtables.c","None separately assigned (fixing commit 7997eff82828, tracked via kernel 'Fixes:' tag to root-cause commit 1da177e4c3f4, Linux 2.6.12-rc2)",CVE-2022-48641,Incidental invariant loss (refactor side-effect),Logic / Invariant Error,"A refactor that correctly fixes the targeted defect incidentally removes an unrelated side effect that other code silently relied on, opening a new (different-class) gap in the same commit."
CASE-51,"Linux kernel -- networking core, net/core/dst.c and net/core/dst_cache.c (destination-entry refcounting and per-CPU route caching)",CVE-2024-50036,CVE-2025-22057,Field/parameter-family miss,Structural Duplication,The fix enumerates a family of fields/parameters/members/option-spellings/reference-holder-classes to protect but omits one member of that family.
